Movie Name,Total Cast,Genre
Dumbo,"('Hall Johnson', 'Harold Manley', 'James MacDonald', 'John McLeish', 'Malcolm Hutton', 'Billy Bletcher', 'Cliff Edwards', 'Eddie Holden', 'Edward Brophy', 'Herman Bing', 'James Baskett', 'Jim Carmichael', 'Noreen Gammill', 'Sterling Holloway', 'Verna Felton')","['Drama', 'Animation', 'Family', 'Musical']"
Roma,"('Jorge Antonio Guerrero', 'José Luis López Gómez', 'José Manuel Guerrero Mendoza', 'Latin Lover', 'Zarela Lizbeth Chinolla Arellano', 'Andy Cortés', 'Carlos Peralta', 'Daniela Demesa', 'Diego Cortina Autrey', 'Fernando Grediaga', 'Marco Graf', 'Marina de Tavira', 'Nancy García García', 'Verónica García', 'Yalitza Aparicio')",['Drama']
Ran,"('Hisashi Igawa', 'Kazuo Katô', 'Kenji Kodama', 'Mansai Nomura', 'Masayuki Yui', 'Mieko Harada', 'Norio Matsui', 'Peter', 'Takashi Watanabe', 'Toshiya Ito', 'Yoshiko Miyazaki', 'Akira Terao', 'Daisuke Ryû', 'Jinpachi Nezu', 'Tatsuya Nakadai')","['Action', 'Drama', 'War']"
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)","('Gladys Knight & The Pips', 'Mavis Staples', 'Sly and the Family Stone', 'The 5th Dimension', 'The Chambers Brothers', 'Abbey Lincoln', 'B.B. King', 'David Ruffin', 'Jesse Jackson', 'Mahalia Jackson', 'Max Roach', 'Moms Mabley', 'Nina Simone', 'Sal Masekela', 'Stevie Wonder')",['Documentary']
The Shop Around the Corner,"('Charles Arnt', 'Charles Halton', 'Charles Smith', 'Joan Blair', 'Mary Carr', 'Edwin Maxwell', 'Felix Bressart', 'Frank Morgan', 'Inez Courtney', 'James Stewart', 'Joseph Schildkraut', 'Margaret Sullavan', 'Sara Haden', 'Sarah Edwards', 'William Tracy')","['Drama', 'Comedy', 'Romance']"
12 Angry Men,"('E.G. Marshall', 'Ed Begley', 'Edward Binns', 'George Voskovec', 'Jack Klugman', 'Jack Warden', 'James Kelly', 'John Fiedler', 'Joseph Sweeney', 'Martin Balsam', 'Robert Webber', 'Rudy Bond', 'Tom Gorman', 'Henry Fonda', 'Lee J. Cobb')","['Drama', 'Crime']"
Rosemary's Baby,"('Charles Grodin', ""D'Urville Martin"", 'Elisha Cook Jr.', 'Emmaline Henry', 'Hanna Hertelendy', 'Hope Summers', 'Maurice Evans', 'Patsy Kelly', 'Phil Leeds', 'Ralph Bellamy', 'Ruth Gordon', 'Sidney Blackmer', 'Victoria Vetri', 'John Cassavetes', 'Mia Farrow')","['Drama', 'Horror']"
12 Years a Slave,"('Adepero Oduye', 'Alfre Woodard', 'Ashley Dyke', 'Benedict Cumberbatch', 'Bill Camp', 'Brad Pitt', 'Bryan Batt', 'Cameron Zeigler', 'Chiwetel Ejiofor', 'Chris Chalk', 'Christopher Berry', 'Craig Tate', 'Dickie Gravois', 'Dwight Henry', 'Garret Dillahunt', 'Kelsey Scott', ""Lupita Nyong'o"", 'Marcus Lyle Brown', 'Michael Fassbender', 'Michael K. Williams', 'Mister Mackey Jr.', 'Paul Dano', 'Paul Giamatti', 'Quvenzhané Wallis', 'Ruth Negga', 'Sarah Paulson', 'Scoot McNairy', 'Taran Killam', 'Tom Proctor', 'Tony Bentley', 'Alfre Woodard', 'Benedict Cumberbatch', 'Brad Pitt', 'Chiwetel Ejiofor', 'Garret Dillahunt', 'Michael Fassbender', 'Michael K. Williams', 'Paul Dano', 'Paul Giamatti', 'Sarah Paulson')","['Biography', 'Drama', 'History']"
Manchester by the Sea,"('Amanda Blattner', 'Anna Baryshnikov', 'Anthony Estrella', 'Ben Hanson', ""Ben O'Brien"", 'Brian Chamberlain', 'C.J. Wilson', 'Casey Affleck', 'Chaunty Spillane', 'Danae Nason', 'Erica McDermott', 'Gretchen Mol', 'Heather Burns', 'Jeffrey Corazzini', 'Josh Hamilton', 'Kara Hayward', 'Kyle Chandler', 'Lewis D. Wheeler', 'Liam McNeill', 'Lucas Hedges', 'Mark Burzenski', 'Mary Mallen', 'Matthew Broderick', 'Michelle Williams', 'Missy Yager', 'Oscar Wahlberg', 'Quincy Tyler Bernstine', 'Richard Donelly', 'Robert Sella', 'Ruibo Qian', 'Stephanie Ann Saunders', 'Stephen Henderson', 'Susan Pourfar', 'Tate Donovan', 'Tom Kemp', 'Virginia Loring Cooke', 'Casey Affleck', 'Kyle Chandler', 'Lucas Hedges', 'Michelle Williams')",['Drama']
Killer of Sheep,"('Angela Burnett', 'Charles Bracy', 'Chris Terrill', 'Eugene Cherry', 'Henry G. Sanders', 'Homer Jai', 'Jack Drummond', 'Johnny Smoke', 'Kaycee Moore', 'Lawrence Pierott', 'Russell Miles', 'Angela Burnett', 'Charles Bracy', 'Delores Farley', 'Dorothy Stengel', 'Eugene Cherry', 'Henry G. Sanders', 'Jack Drummond', 'Kaycee Moore', 'Slim', 'Tobar Mayo')",['Drama']
Nashville,"('Allen Garfield', 'Barbara Harris', 'Henry Gibson', 'Jeff Goldblum', 'Scott Glenn', 'Barbara Baxley', 'David Arkin', 'Geraldine Chaplin', 'Karen Black', 'Keith Carradine', 'Ned Beatty', 'Robert DoQui', 'Ronee Blakley', 'Shelley Duvall', 'Timothy Brown')","['Drama', 'Comedy', 'Music']"
Ratatouille,"('Brian Dennehy', 'Ian Holm', 'Jake Steinfeld', 'James Remar', 'Janeane Garofalo', 'John Ratzenberger', 'Julius Callahan', ""Peter O'Toole"", 'Peter Sohn', 'Teddy Newton', 'Tony Fucile', 'Will Arnett', 'Brad Garrett', 'Lou Romano', 'Patton Oswalt')","['Fantasy', 'Comedy', 'Animation', 'Family']"
Parasite,"('Hye-jin Jang', 'Hyun Seung-min', 'JaeWook Park', 'Jeong Esuz', 'Jeong-eun Lee', 'Ji-hye Lee', 'Ji-rye Lee', 'Jung Hyeon-jun', 'Jung Ik-Han', 'Jung Ziso', 'Kang Echae', 'Keun-rok Park', 'Lee Joo-Hyung', 'Myeong-hoon Park', 'Pak Hyo-Shin', 'Seo Joon Park', 'Seong-Bong Ahn', 'Andreas Fronk', 'Hyae Jin Chang', 'Hye-jin Jang', 'Hyun Seung-min', 'JaeWook Park', 'Jeong Esuz', 'Jeong-eun Lee', 'Ji-rye Lee', 'Jung Hyeon-jun', 'Jung Ik-Han', 'Kang Echae', 'Kang-ho Song', 'Lee Joo-Hyung', 'Myeong-hoon Park', 'Pak Hyo-Shin', 'Seo Joon Park', 'Seon-gyun Lee', 'So-dam Park', 'Woo-sik Choi', 'Yeo-Jeong Cho', 'Yeo-jeong Jo')","['Drama', 'Thriller', 'Comedy']"
Rocks,"('Brie-Morgan Appleton', 'Islah Abdur-Rahman', 'Mohammad Amiri', 'Sharon D Clarke', 'Shola Adewusi', 'Afi Okaidja', 'Anastasia Dymitrow', 'Bukky Bakray', ""D'angelou Osei Kissiedu"", 'Kosar Ali', 'Layo-Christina Akinlude', 'Ruby Stokes', 'Sarah Niles', 'Shaneigha-Monik Greyson', 'Tawheda Begum')",['Drama']
The Grapes of Wrath,"('Darryl Hickman', 'Frank Darien', 'Frank Sully', 'Roger Imhof', 'Shirley Mills', 'Charley Grapewin', 'Dorris Bowdon', 'Eddie Quillan', 'Henry Fonda', 'Jane Darwell', 'John Carradine', 'John Qualen', 'O.Z. Whitehead', 'Russell Simpson', 'Zeffie Tilbury')","['Drama', 'History']"
Children of Paradise (1945),"('Etienne Decroux', 'Fabien Loris', 'Gaston Modot', 'Habib Benglia', 'Jane Marken', 'Louis Florencie', 'Marcel Pérès', 'Marcelle Monthil', 'María Casares', 'Palau', 'Pierre Brasseur', 'Pierre Renoir', 'Rognoni', 'Arletty', 'Jean-Louis Barrault')","['Drama', 'Romance']"
Mean Streets,"('David Carradine', 'Harry Northup', 'Lois Walden', 'Murray Moston', 'Robert Carradine', 'Amy Robinson', 'Cesare Danova', 'David Proval', 'George Memmoli', 'Harvey Keitel', 'Jeannie Bell', 'Lenny Scaletta', 'Richard Romanus', 'Robert De Niro', 'Victor Argo')","['Drama', 'Thriller', 'Crime']"
The Lady Eve,"('Abdullah Abbas', 'Dora Clement', 'Luis Alberni', 'Mary Akin', 'Norman Ainsley', 'Barbara Stanwyck', 'Charles Coburn', 'Eric Blore', 'Eugene Pallette', 'Henry Fonda', 'Janet Beecher', ""Martha O'Driscoll"", 'Melville Cooper', 'Robert Greig', 'William Demarest')","['Comedy', 'Romance']"
Gravity,"('Amy Warren', 'Basher Savage', 'Ed Harris', 'Eric Michels', 'George Clooney', 'Janis Ahern', 'Orto Ignatiussen', 'Paul Sharma', 'Sandra Bullock', 'George Clooney', 'Sandra Bullock')","['Sci-Fi', 'Drama', 'Mystery', 'Thriller']"
Fantasia,"('Corey Burton', 'Deems Taylor', 'Hugh Douglas', 'James MacDonald', 'Julietta Novis', 'Leopold Stokowski', 'Paul J. Smith', 'Tim Matheson', 'Walt Disney')","['Fantasy', 'Music', 'Animation', 'Family']"
Spirited Away,"('Bunta Sugawara', 'Koba Hayashi', 'Mari Natsuki', 'Noriko Kitou', 'Rumi Hîragi', 'Ryûnosuke Kamiki', 'Shigeru Wakita', 'Shiro Saito', 'Takashi Naitô', 'Takehiko Ono', 'Tatsuya Gashûin', 'Tsunehiko Kamijô', 'Yasuko Sawaguchi', 'Yô Ôizumi', 'Yumi Tamai', 'Miyu Irino')","['Adventure', 'Fantasy', 'Animation', 'Family']"
